name,latitude,longitude,region,population
Saint-Jean-de-Luz,43.3903,-1.6597,Nouvelle-Aquitaine,14198
Plérin,48.5344,-2.7708,Bretagne,14158
Montmagny,48.9736,2.3458,Île-de-France,14145
Saint-Brevin-les-Pins,47.2464,-2.1669,Pays de la Loire,14118
Saint-Fargeau,48.5328,2.5447,Île-de-France,14109
Rixheim,47.7486,7.4044,Grand Est,14071
Avrillé,47.5069,-0.5889,Pays de la Loire,14065
Douarnenez,48.0922,-4.3303,Bretagne,14015
Saint-Maurice,48.8183,2.4347,Île-de-France,14001
Woippy,49.1511,6.1514,Grand Est,13998
Biscarrosse,44.3931,-1.1639,Nouvelle-Aquitaine,13946
Auray,47.6678,-2.9825,Bretagne,13945
Castelsarrasin,44.04,1.1069,Occitanie,13934
Thouars,46.975,-0.2153,Nouvelle-Aquitaine,13932
Fleury-Mérogis,48.6294,2.3614,Île-de-France,13917
Castanet-Tolosan,43.5156,1.4981,Occitanie,13811
Berck-sur-Mer,50.4083,1.5928,Hauts-de-France,13791
Saint-Gilles,43.6778,4.4311,Occitanie,13787
Ollioules,43.1394,5.8469,Provence-Alpes-Côte d’Azur,13771
Gien,47.6981,2.625,Centre-Val de Loire,13732
Argentan,48.7444,-0.0203,Normandie,13730
Lons,43.315,-0.4108,Nouvelle-Aquitaine,13720
Mions,45.6631,4.9531,Auvergne-Rhône-Alpes,13665
Avon,48.4089,2.725,Île-de-France,13662
Beausoleil,43.7419,7.4236,Provence-Alpes-Côte d’Azur,13576
Outreau,50.7039,1.5939,Hauts-de-France,13575
Saint-Martin-de-Crau,43.6397,4.8125,Provence-Alpes-Côte d’Azur,13558
Tergnier,49.6558,3.2872,Hauts-de-France,13547
Saint-Jacques-de-la-Lande,48.0903,-1.6956,Bretagne,13533
Berre-l’Étang,43.4756,5.1681,Provence-Alpes-Côte d’Azur,13520
Bollène,44.2803,4.7489,Provence-Alpes-Côte d’Azur,13509
Fontenay-le-Fleury,48.8136,2.0486,Île-de-France,13494
